frequency_Hz,spectre_real,spectre_imag,derived_real,derived_imag,relative_error
1.0,-10100.0,0.974114,-10099.999906052755,0.9741136250379555,9.301781530462793e-09
1.039122303835169,-10100.0,1.01222,-10099.9998985581,1.0122231934955772,1.0048728196834696e-08
1.07977516232771,-10100.0,1.05182,-10099.999890465555,1.0518236959777785,1.0851166721992957e-08
1.122018454301963,-10100.0,1.09297,-10099.999881727426,1.0929734612472823,1.1715169329993775e-08
1.165914401179831,-10100.0,1.13573,-10099.999872292214,1.13573310002103,1.2648060102915315e-08
1.211527658628588,-10100.0,1.18017,-10099.999862104305,1.180165594245312,1.3660005906005131e-08
1.258925411794167,-10100.0,1.22634,-10099.999851103652,1.22633638986354,1.4746545379761084e-08
1.308177474260194,-10100.0,1.27431,-10099.999839225422,1.2743134932132811,1.5922032084649418e-08
1.359356390878525,-10100.0,1.32417,-10099.999826399604,1.3241675711945422,1.718984030852448e-08
1.412537544622754,-10100.0,1.37597,-10099.999812550606,1.3759720553568375,1.856046172872129e-08
1.467799267622069,-10100.0,1.4298,-10099.999797596802,1.4298032500583466,2.0042504185771167e-08
1.525222956539018,-10100.0,1.48574,-10099.999781450053,1.4857404448564808,2.1638653676857498e-08
1.584893192461112,-10100.0,1.54387,-10099.999764015196,1.5438660312953822,2.3368136288906697e-08
1.646897865482867,-10100.0,1.60427,-10099.99974518947,1.6042656242623683,2.5232485257033266e-08
1.71132830416178,-10100.0,1.66703,-10099.999724861918,1.6670281880920759,2.7241985290133095e-08
1.778279410038921,-10100.0,1.73225,-10099.999702912735,1.7322461676040306,2.941702839621869e-08
1.847849797422289,-10100.0,1.80002,-10099.999679212551,1.8000156242666456,3.176408874465953e-08
1.9201419386388,-10100.0,1.87044,-10099.99965362168,1.8704363776881903,3.4296758959641407e-08
1.995262314968878,-10100.0,1.94361,-10099.999625989296,1.9436121526431411,3.703137680680196e-08
2.073321573485953,-10100.0,2.01965,-10099.999596152533,2.019650731850442,3.998496419503542e-08
2.154434690031881,-10100.0,2.09866,-10099.999563935537,2.098664114728707,4.317662235798961e-08
2.238721138568337,-10100.0,2.18077,-10099.999529148427,2.1807686823621766,4.661915129719245e-08
2.326305067153623,-10100.0,2.26609,-10099.999491586166,2.2660853689203866,5.0340092885349054e-08
2.417315480804101,-10100.0,2.35474,-10099.999451027374,2.354739839784041,5.435372917285365e-08
2.511886431509577,-10100.0,2.44686,-10099.999407232996,2.4468626766394017,5.869040247893876e-08
2.610157215682533,-10100.0,2.54259,-10099.999359944915,2.5425895698138268,6.337180688169395e-08
2.712272579332024,-10100.0,2.64206,-10099.99930888442,2.642061518135712,6.842745254751424e-08
2.818382931264449,-10100.0,2.74543,-10099.999253750566,2.745425036613182,7.388771955326655e-08
2.928644564625232,-10100.0,2.85283,-10099.9991942184,2.8528323722374034,7.978070529728497e-08
3.043219887107717,-10100.0,2.96444,-10099.999129937049,2.9644417282283193,8.614502032872215e-08
3.162277660168374,-10100.0,3.08042,-10099.999060527643,3.0804174970530918,9.301739944726157e-08
3.285993247600648,-10100.0,3.20093,-10099.998985581089,3.2009305025603787,1.0043753330263605e-07
3.414548873833595,-10100.0,3.32616,-10099.998904655668,3.3261582515870822,1.0845007795227388e-07
3.548133892335747,-10100.0,3.45629,-10099.998817274405,3.4562851954080425,1.1710251711989707e-07
3.686945064519568,-10100.0,3.5915,-10099.998722922288,3.5915030014137774,1.2644369502953664e-07
3.83118684955728,-10100.0,3.73201,-10099.998621043222,3.7320108354162724,1.3653040846990668e-07
3.981071705534964,-10100.0,3.87802,-10099.998511036738,3.8780156549986065,1.4742274371145545e-07
4.136820402388498,-10100.0,4.02973,-10099.99839225447,4.02973251434035,1.5918293300623691e-07
4.298662347082267,-10100.0,4.18738,-10099.998263996333,4.187384880967647,1.7188224535792043e-07
4.466835921509621,-10100.0,4.3512,-10099.998125506383,4.351204964894362,1.8559409564461382e-07
4.641588833612769,-10100.0,4.52143,-10099.997975968381,4.521434060638983,2.0039959356247286e-07
4.823178482239296,-10100.0,4.69832,-10099.997814500966,4.69832290262087,2.1638625719113036e-07
5.011872336272711,-10100.0,4.88213,-10099.997640152465,4.882132034459124,2.336483848695133e-07
5.207948328595451,-10100.0,5.07313,-10099.997451895295,5.073132192717879,2.5228771979427373e-07
5.411695265464624,-10100.0,5.2716,-10099.997248619882,5.271604705662929,2.724143085756596e-07
5.623413251903477,-10100.0,5.47784,-10099.997029128153,5.477841907616874,2.9414583128671545e-07
5.843414133735161,-10100.0,5.69215,-10099.996792126443,5.692147569522714,3.176113848342112e-07
6.072021956909869,-10100.0,5.91484,-10099.996536217897,5.914837346349847,3.4294888248799136e-07
6.309573444801915,-10100.0,6.14624,-10099.99625989422,6.146239242001035,3.7030757911699525e-07
6.55641849417977,-10100.0,6.38669,-10099.995961526794,6.386694092404735,3.998491174727496e-07
6.812920690579593,-10100.0,6.63656,-10099.995639357077,6.636556067503909,4.317470927852166e-07
7.079457843841358,-10100.0,6.89619,-10099.995291486242,6.896193192880169,4.661896967952157e-07
7.356422544596391,-10100.0,7.16599,-10099.994915863981,7.165987891780996,5.03379973822919e-07
7.644222742525979,-10100.0,7.44634,-10099.994510276427,7.446337548347807,5.435371893583653e-07
7.943282347242791,-10100.0,7.73766,-10099.994072333095,7.737655092873639,5.868980867220513e-07
8.254041852680158,-10100.0,8.04037,-10099.993599452804,8.040369609951785,6.337177461159863e-07
8.576958985908913,-10100.0,8.35493,-10099.993088848463,8.35492697041016,6.842727292356593e-07
8.912509381337426,-10100.0,8.68179,-10099.992537510632,8.681790487961186,7.388606079692806e-07
