frequency_Hz,spectre_real,spectre_imag,derived_real,derived_imag,relative_error
1.0,-210099.0,416.425,-210099.17462902275,416.4250216588695,8.311726182862492e-07
1.039122303835169,-210099.0,432.716,-210099.10878519833,432.716392270033,5.177826573234599e-07
1.07977516232771,-210099.0,449.645,-210099.03768871847,449.645102285224,1.793857381203858e-07
1.122018454301963,-210099.0,467.236,-210098.96092055948,467.2360838712446,1.860048889235109e-07
1.165914401179831,-210099.0,485.515,-210098.87802827114,485.5152443523512,5.805440233284281e-07
1.211527658628588,-210099.0,504.51,-210098.78852331045,504.50950433060024,1.0065582110983079e-06
1.258925411794167,-210099.0,524.247,-210098.69187816262,524.2468372938848,1.4665532582584337e-06
1.308177474260194,-210099.0,544.756,-210098.58752323227,544.7563107694132,1.9632473646867396e-06
1.359356390878525,-210098.0,566.068,-210098.4748434868,566.0681290825901,2.2600915175570396e-06
1.412537544622754,-210098.0,588.214,-210098.35317483204,588.2136777835428,1.6809917333478492e-06
1.467799267622069,-210098.0,611.226,-210098.22180019887,611.225569805901,1.0556951674376001e-06
1.525222956539018,-210098.0,635.138,-210098.07994531747,635.1376934248976,3.805153288999733e-07
1.584893192461112,-210098.0,659.985,-210097.92677415497,659.9852620843802,3.485324861430252e-07
1.646897865482867,-210098.0,685.805,-210097.7613839889,685.8048661649614,1.1357321269651168e-06
1.71132830416178,-210098.0,712.635,-210097.5828000879,712.6345267682469,1.985733367256922e-06
1.778279410038921,-210097.0,740.514,-210097.38996996803,740.5137515948909,1.8561278887682289e-06
1.847849797422289,-210097.0,769.484,-210097.18175719152,769.4835929971374,8.651064552761584e-07
1.9201419386388,-210097.0,799.587,-210096.95693467034,799.5867082894945,2.049815778972941e-07
1.995262314968878,-210097.0,830.867,-210096.71417743634,830.867422404306,1.360424135409661e-06
2.073321573485953,-210096.0,863.372,-210096.45205483446,863.3717929821765,2.1516358820517514e-06
2.154434690031881,-210096.0,897.148,-210096.16902209385,897.1476779905056,8.044928204953374e-07
2.238721138568337,-210096.0,932.245,-210095.86341122675,932.2448059667979,6.501202080828599e-07
2.326305067153623,-210096.0,968.715,-210095.53342120134,968.7148489869148,2.2207700273466666e-06
2.417315480804101,-210095.0,1006.61,-210095.1771073321,1006.6114984620684,8.430066821724787e-07
2.511886431509577,-210095.0,1045.99,-210094.79236982312,1045.990543872036,9.88260173538079e-07
2.610157215682533,-210094.0,1086.91,-210094.3769413991,1086.909954545933,1.794128729721742e-06
2.712272579332024,-210094.0,1129.43,-210093.92837394992,1129.429964605781,3.4091905662281986e-07
2.818382931264449,-210093.0,1173.61,-210093.44402411033,1173.613161192126,2.1134806812164337e-06
2.928644564625232,-210093.0,1219.52,-210092.92103769124,1219.5245760951161,3.7646896302079654e-07
3.043219887107717,-210092.0,1267.23,-210092.35633286918,1267.2317809186113,1.6960675951091843e-06
3.162277660168374,-210092.0,1316.8,-210091.74658203707,1316.8049859092573,1.206434958794001e-06
3.285993247600648,-210091.0,1368.32,-210091.08819220742,1368.3171425867954,4.199921780248372e-07
3.414548873833595,-210090.0,1421.84,-210090.37728385566,1421.8440503164136,1.7958792801475968e-06
3.548133892335747,-210090.0,1477.46,-210089.60966807694,1477.4644669683935,1.8580063543113924e-06
3.686945064519568,-210089.0,1535.26,-210088.78082192325,1535.260223815007,1.043236759769224e-06
3.83118684955728,-210088.0,1595.32,-210087.88586177642,1595.316344819177,5.435508234318971e-07
3.981071705534964,-210087.0,1657.72,-210086.9195146001,1657.7211704741421,3.8313382292815976e-07
4.136820402388498,-210086.0,1722.57,-210085.8760869028,1722.5664863580591,5.900384100877483e-07
4.298662347082267,-210085.0,1789.95,-210084.7494312294,1789.9476565721388,1.1927121545439435e-06
4.466835921509621,-210084.0,1859.96,-210083.53290998537,1859.9637622356215,2.2233387548802897e-06
4.641588833612769,-210082.0,1932.72,-210082.2193563811,1932.7177452154724,1.0441563657557796e-06
4.823178482239296,-210081.0,2008.32,-210080.80103226862,2008.3165572732423,9.471994604163714e-07
5.011872336272711,-210079.0,2086.87,-210079.2695826232,2086.871314815927,1.283194338030521e-06
5.207948328595451,-210078.0,2168.5,-210077.6159864044,2168.497459441942,1.8279031788712225e-06
5.411695265464624,-210076.0,2253.31,-210075.83050350836,2253.3149244773476,8.071288319253555e-07
5.623413251903477,-210074.0,2341.45,-210073.90261750267,2341.448307701282,4.636042365431606e-07
5.843414133735161,-210072.0,2433.03,-210071.82097380914,2433.027050463031,8.522727043954853e-07
6.072021956909869,-210070.0,2528.19,-210069.5733129739,2528.1856233962408,2.031129808183271e-06
6.309573444801915,-210067.0,2627.06,-210067.14639863625,2627.0637189383974,6.970838443550616e-07
6.55641849417977,-210065.0,2729.81,-210064.52593977697,2729.8064508658126,2.2566089275127946e-06
6.812920690579593,-210062.0,2836.56,-210061.6965067943,2836.5645610557117,1.4448127019102423e-06
7.079457843841358,-210059.0,2947.49,-210058.64144091954,2947.4946336876933,1.7069220352871305e-06
7.356422544596391,-210055.0,3062.76,-210055.3427564473,3062.7593170965947,1.6315733475034867e-06
7.644222742525979,-210052.0,3182.53,-210051.78103521344,3182.5275534874436,1.0423778501136387e-06
7.943282347242791,-210048.0,3306.97,-210047.93531271123,3306.974816720748,3.0877872463509077e-07
8.254041852680158,-210044.0,3436.28,-210043.78295518635,3436.283358372378,1.0333167128765099e-06
8.576958985908913,-210039.0,3570.64,-210039.2995270023,3570.6424622668364,1.4258943456665236e-06
8.912509381337426,-210034.0,3710.25,-210034.45864751394,3710.248707675353,2.183345501616245e-06
9.261187281287903,-210029.0,3855.31,-210029.23183662424,3855.306241360738,1.1037893882197398e-06
9.623506263980852,-210024.0,4006.03,-210023.5883481402,4006.0270586390384,1.9597203597353202e-06
9.999999999999964,-210017.0,4162.63,-210017.49498997407,4162.6312936134655,2.3564439942284343e-06
10.39122303835165,-210011.0,4325.35,-210010.91593016274,4325.347518718184,4.004011556214205e-07
10.79775162327706,-210004.0,4494.41,-210003.81248760177,4494.413053688381,8.928139234713852e-07
11.22018454301959,-209996.0,4670.07,-209996.1429063048,4670.0742840474595,6.806561344323439e-07
11.65914401179827,-209988.0,4852.59,-209987.8621119119,4852.58698917257,6.566291134742259e-07
12.11527658628584,-209979.0,5042.22,-209978.92144907202,5042.216679964249,3.743156739532252e-07
12.58925411794162,-209969.0,5239.24,-209969.2683982232,5239.238946105278,1.2778859368749585e-06
13.08177474260189,-209959.0,5443.94,-209958.84627018566,5443.939812846177,7.319447658024342e-07
13.5935639087852,-209948.0,5656.62,-209947.59387686392,5656.61610719982,1.9337895278916663e-06
14.12537544622749,-209935.0,5877.58,-209935.44517623002,5877.57583336433,2.1198009248131774e-06
14.67799267622063,-209922.0,6107.14,-209922.3288896279,6107.138557120514,1.5660730380982822e-06
15.25222956539013,-209908.0,6345.64,-209908.16808929606,6345.635798867027,8.006596946439971e-07
15.84893192461107,-209893.0,6593.41,-209892.87975385712,6593.411434860727,5.726512227118894e-07
16.46897865482861,-209876.0,6850.82,-209876.37428935972,6850.8221061215245,1.7824590199245964e-06
17.11328304161773,-209859.0,7118.24,-209858.55501329628,7118.237634337212,2.119223719024145e-06
17.78279410038915,-209839.0,7396.04,-209839.31759883347,7396.041443963424,1.5126098642530932e-06
18.47849797422283,-209819.0,7684.63,-209818.54947631015,7684.630989554935,2.1457726899761383e-06
19.20141938638793,-209796.0,7984.42,-209796.12918885704,7984.418187184414,6.153979530817936e-07
19.9526231496887,-209772.0,8295.83,-209771.92569878435,8295.829848601308,3.5392408024596483e-07
20.73321573485946,-209746.0,8619.31,-209745.7976411675,8619.308116554166,9.64009502854197e-07
21.54434690031874,-209718.0,8955.31,-209717.59252083258,8955.310899440998,1.9412256004875473e-06
22.38721138568329,-209687.0,9304.31,-209687.14584871038,9304.312303161618,6.949567957283358e-07
23.26305067153615,-209654.0,9666.8,-209654.28021328212,9666.803057718798,1.335210316336957e-06
24.17315480804092,-209619.0,10043.3,-209618.80428259115,10043.290935748568,9.33612310252218e-07
25.11886431509567,-209581.0,10434.3,-209580.51173204038,10434.301159748953,2.3268638749460305e-06
26.10157215682523,-209539.0,10840.4,-209539.18009293513,10840.37679431656,8.654197361074739e-07
27.12272579332014,-209495.0,11262.1,-209494.56951647173,11262.079119186326,2.054316845832047e-06
28.18382931264439,-209446.0,11700.0,-209446.42144761488,11699.987978296247,2.0098827123153914e-06
29.28644564625221,-209394.0,12154.7,-209394.45720305346,12154.702099459355,2.1798072055669866e-06
30.43219887107706,-209338.0,12626.8,-209338.3764471826,12626.839378513741,1.804802956577507e-06
31.62277660168362,-209278.0,13117.0,-209277.85555983274,13117.037121030586,7.112165180658595e-07
32.85993247600636,-209213.0,13626.0,-209212.5458892607,13625.952233783022,2.1779316209201123e-06
34.14548873833583,-209142.0,14154.3,-209142.07188374404,14154.261357206964,3.8933274280859623e-07
35.48133892335735,-209066.0,14702.7,-209066.02909498021,14702.66092901069,2.3243397266593096e-07
36.86945064519555,-208984.0,15271.9,-208983.98204640805,15271.867167904911,1.7858196431657902e-07
38.31186849557266,-208895.0,15862.6,-208895.46195954367,15862.615965119605,2.2064069275307402e-06
39.8107170553495,-208800.0,16475.7,-208799.9643314766,16475.662669940168,2.4650950290500626e-07
41.36820402388483,-208697.0,17111.8,-208696.94635681884,17111.78175392366,2.705926228986368e-07
42.98662347082252,-208586.0,17771.8,-208585.82418766664,17771.766336738936,8.550912503951955e-07
44.66835921509605,-208466.0,18456.4,-208465.9700255361,18456.427554702354,1.9454778946361526e-07
46.41588833612751,-208337.0,19166.6,-208336.70903980167,19166.59375104853,1.39103416323538e-06
48.23178482239277,-208197.0,19903.1,-208197.316107937,19903.109464776335,1.5120961081260889e-06
50.11872336272692,-208047.0,20666.8,-208047.01237385278,20666.834192540642,1.7392488176020702e-07
52.07948328595431,-207885.0,21458.6,-207884.96162189974,21458.640895518816,2.6835395201899914e-07
54.11695265464603,-207710.0,22279.4,-207710.26646569613,22279.414220471062,1.2773704440686029e-06
56.23413251903455,-207522.0,23130.0,-207521.96435289492,23130.04840133978,2.8788120150675675e-07
58.43414133735138,-207319.0,24011.4,-207319.0233893941,24011.444804710332,2.421712283967144e-07
60.72021956909846,-207100.0,24924.5,-207100.337989365,24924.50907930105,1.620900074619715e-06
63.09573444801892,-206865.0,25870.1,-206864.7243609063,25870.147866392097,1.3419494397212254e-06
65.56418494179746,-206611.0,26849.3,-206610.91584119538,26849.2650247816,4.3742694185120764e-07
68.12920690579568,-206338.0,27862.8,-206337.55809978987,27862.757320520468,2.1322503985839163e-06
70.79457843841332,-206043.0,28911.5,-206043.20423431112,28911.50952839502,9.826721842638362e-07
73.56422544596364,-205726.0,29996.4,-205726.30978921705,29996.388888980247,1.4910338738082722e-06
76.44222742525952,-205385.0,31118.2,-205385.2277358275,31118.23886218377,1.1121586494585046e-06
79.43282347242761,-205018.0,32277.9,-205018.20346030543,32277.872115669255,9.894896635841646e-07
82.54041852680128,-204623.0,33476.1,-204623.36981600625,33476.06268454953,1.7926468266785831e-06
85.76958985908881,-204199.0,34713.5,-204198.74230757367,34713.537237460274,1.2570417800484356e-06
89.12509381337392,-203742.0,35991.0,-203742.21448645528,35990.96538379375,1.050098358084886e-06
92.61187281287869,-203252.0,37308.9,-203251.55365119106,37308.948957751396,2.1729076972934265e-06
