frequency_Hz,spectre_real,spectre_imag,derived_real,derived_imag,relative_error
1.0,-210098.0,616.221,-210098.18318718628,616.2213007365845,8.719097063243792e-07
1.039122303835169,-210098.0,640.329,-210098.03825200966,640.328853636422,1.82067916172584e-07
1.07977516232771,-210098.0,665.379,-210097.88175483153,665.3794953630653,5.62812019316445e-07
1.122018454301963,-210098.0,691.41,-210097.71277332882,691.4101151130304,1.367102645397329e-06
1.165914401179831,-210098.0,718.459,-210097.53031160613,718.4590444665453,2.235560070812868e-06
1.211527658628588,-210097.0,746.566,-210097.33329432757,746.5661137184998,1.5863706480113037e-06
1.258925411794167,-210097.0,775.773,-210097.12056038078,775.7727104011939,5.738294100016807e-07
1.308177474260194,-210097.0,806.122,-210096.89085603526,806.1218400831511,5.194902126355582e-07
1.359356390878525,-210097.0,837.658,-210096.64282755513,837.6581895314104,1.7000255288582926e-06
1.412537544622754,-210096.0,870.428,-210096.3750132239,870.4281923279134,1.784943004387959e-06
1.467799267622069,-210096.0,904.48,-210096.08583473167,904.4800970339194,4.0854635995295634e-07
1.525222956539018,-210096.0,939.864,-210095.77358787679,939.8640379998295,1.0776507164592469e-06
1.584893192461112,-210095.0,976.632,-210095.43643252616,976.6321089212967,2.077283694798702e-06
1.646897865482867,-210095.0,1014.84,-210095.07238177423,1014.8384392461401,3.4459520613909396e-07
1.71132830416178,-210095.0,1054.54,-210094.67929023856,1054.5392735403236,1.5264857986593002e-06
1.778279410038921,-210094.0,1095.79,-210094.25484142243,1095.7930539250835,1.2130567493076184e-06
1.847849797422289,-210094.0,1138.66,-210093.7965340689,1138.6605057012255,9.68441594407881e-07
1.9201419386388,-210093.0,1183.2,-210093.30166742904,1183.2047262806534,1.4360270586400424e-06
1.995262314968878,-210093.0,1229.49,-210092.7673253543,1229.491277549323,1.107483002584658e-06
2.073321573485953,-210092.0,1277.59,-210092.19035912192,1277.5882817900367,9.060943964493528e-07
2.154434690031881,-210092.0,1327.57,-210091.56736889208,1327.5665212978156,2.0592756838027224e-06
2.238721138568337,-210091.0,1379.5,-210090.8946836861,1379.4995418249664,5.012832201567457e-07
2.326305067153623,-210090.0,1433.46,-210090.1683397713,1433.463759997453,8.014551051046835e-07
2.417315480804101,-210089.0,1489.54,-210089.38405732226,1489.538574848701,1.8280329370174892e-06
2.511886431509577,-210089.0,1547.81,-210088.53721522333,1547.8064836215594,2.2028121208157734e-06
2.610157215682533,-210088.0,1608.35,-210087.6228238651,1608.3532019937925,1.7953398123200791e-06
2.712272579332024,-210087.0,1671.27,-210086.63549577282,1671.267788887112,1.7349956569810827e-06
