time_s,spectre,derived_finite_rise_step,absolute_error
0.0,0.0,0.0,0.0
1e-07,0.0,0.0,0.0
2e-07,0.0,0.0,0.0
3e-07,0.0,0.0,0.0
4e-07,0.0,0.0,0.0
5e-07,0.0,0.0,0.0
6e-07,0.0,0.0,0.0
7e-07,0.0,0.0,0.0
8e-07,0.0,0.0,0.0
9e-07,0.0,0.0,0.0
1e-06,0.0,0.0,0.0
1.000003949821887e-06,9.802212526498943e-08,4.9011873517156024e-08,4.901025174783341e-08
1.000007456631827e-06,2.376013136229584e-07,1.7467409054415517e-07,6.292722307880324e-08
1.000008849962505e-06,3.102016772289158e-07,2.4605074500777535e-07,6.415093222114044e-08
1.000010360253689e-06,4.017994399277158e-07,3.37195080002059e-07,6.460435992565679e-08
1.000012103839827e-06,5.250273788602867e-07,4.6024088821809694e-07,6.47864906421898e-08
1.000014412256749e-06,7.17403708155282e-07,6.525303923744091e-07,6.487331578087288e-08
1.000018092003818e-06,1.093193769864621e-06,1.0282690357452107e-06,6.492473411941041e-08
1.000024481020928e-06,1.947680128972966e-06,1.8827239867784396e-06,6.495614219452636e-08
1.000036681124661e-06,4.291669518282726e-06,4.226703607536353e-06,6.496591074637284e-08
1.000061081332125e-06,1.178444200192796e-05,1.1719560245905536e-05,6.488175602242467e-08
1.000108834060216e-06,3.726737493396837e-05,3.720322146713584e-05,6.415346683252891e-08
1.000148658734034e-06,6.946908679022591e-05,6.94057618472188e-05,6.332494300710179e-08
1.000186627355421e-06,0.0001094407523588909,0.0001093781919166148,6.25604422760975e-08
1.000224850704827e-06,0.0001588191715169586,0.00015875736522658057,6.18062903780356e-08
1.000262280311495e-06,0.0002160556005047785,0.00021599451412140924,6.108638336924663e-08
1.000299684439984e-06,0.0002820322041526407,0.00028197182550676603,6.037864587466043e-08
1.000337238504727e-06,0.0003571001762131043,0.00035704050662643816,5.966958666612284e-08
1.000374894744241e-06,0.0004412509730492834,0.00044119201654835294,5.895650093048089e-08
1.000412687741919e-06,0.0005346444056495621,0.0005345861684945552,5.8237155006941356e-08
1.000450614352364e-06,0.0006373666377517119,0.0006373091268564446,5.7510895267311006e-08
1.000488671586137e-06,0.0007495016175319635,0.0007494448399533171,5.677757864634269e-08
1.00052686772107e-06,0.0008711679604945831,0.0008711119236801679,5.603681441524594e-08
1.000565211597361e-06,0.001002494499183674,0.0010024392110852265,5.528809844754928e-08
1.000603713204027e-06,0.001143623250201174,0.0011435687193732669,5.453082790722076e-08
1.000642383107882e-06,0.001294708582869838,0.0012946548185219786,5.376434785938668e-08
1.000681231594233e-06,0.001455914346628661,0.0014558613586546088,5.298797405234659e-08
1.000720268760423e-06,0.001627414057630618,0.0016273618566136072,5.2201017010714e-08
1.000759504549831e-06,0.00180939094137918,0.0018093395385944122,5.1402784767822646e-08
1.000798948764663e-06,0.002002037922378378,0.002001987329819932,5.0592558446024144e-08
1.000838611101729e-06,0.002205557756849567,0.002205507987215194,4.976963437295506e-08
1.000878501161549e-06,0.002420163075159429,0.002420114141887697,4.893327173191922e-08
1.00091862844825e-06,0.002646076388587749,0.0026460283058641343,4.808272361473895e-08
1.000959002368253e-06,0.002883530092166079,0.0028834828749230157,4.721724306336328e-08
1.000979501184127e-06,0.003007988031888809,0.0030079410550235552,4.697686525369227e-08
1.001e-06,0.003135070057396773,0.003135023239774215,4.6817622557839694e-08
1.001000716883561e-06,0.003139560228096464,0.0031395134207946596,4.680730180447318e-08
1.001002150650684e-06,0.003148540520955792,0.0031484937221682996,4.6798787492387944e-08
1.001003800753575e-06,0.003158875722614782,0.0031588289275561454,4.6795058636622117e-08
1.001007100959358e-06,0.003179545808367921,0.0031794990168770854,4.6791490835619565e-08
1.001013701370923e-06,0.003220884697188184,0.003220837909702956,4.678748522814191e-08
1.001026902194053e-06,0.003303557334399161,0.0033035105523598896,4.678203927152222e-08
1.001053303840313e-06,0.003468882041401632,0.0034688352676920386,4.677370959342911e-08
1.001106107132834e-06,0.00379944919754217,0.0037994024343519506,4.676319021942876e-08
1.001211713717875e-06,0.004460254618757017,0.004460207838956176,4.677980084116101e-08
1.001422926887957e-06,0.005780551055836596,0.005780503951407501,4.710442909512669e-08
1.001670088922438e-06,0.007323341572837512,0.00732329363627271,4.793656480268915e-08
1.001919523512931e-06,0.008877890518149202,0.008877841508232343,4.900991685923006e-08
1.002175334770782e-06,0.01046965226236471,0.010469602037026293,5.022533841603227e-08
1.002435283912567e-06,0.01208454293942368,0.012084491408586584,5.1530837095678517e-08
1.002699750714892e-06,0.01372479434810537,0.013724741435034327,5.291307104277054e-08
1.002970145515657e-06,0.01539899635185371,0.015398941966987767,5.438486594226688e-08
1.003246698873568e-06,0.01710839058124171,0.017108334625002497,5.595623921161863e-08
1.003529452563416e-06,0.01885304130167962,0.018852983667630663,5.76340489569227e-08
1.003818349557487e-06,0.02063239920212135,0.020632339779254827,5.942286652321771e-08
1.004113244030332e-06,0.02244536842239137,0.022445307097172518,6.132521885096609e-08
1.004414004598243e-06,0.02429094478094511,0.024290881438059464,6.334288564502355e-08
1.004720518005305e-06,0.02616823781627457,0.026168172338764117,6.547751045180017e-08
1.005032682982044e-06,0.02807643249593541,0.028076364765248107,6.773068730175913e-08
1.005350409137218e-06,0.03001478198884414,0.030014711884779777,7.010406436261385e-08
1.005673612718632e-06,0.03198258143595709,0.031982508836686296,7.259927079644735e-08
1.006002214517465e-06,0.03397915501518636,0.03397907979727821,7.521790815201435e-08
1.006336139217836e-06,0.03600385189752978,0.036003773936012284,7.796151749867031e-08
1.006675314989189e-06,0.03805604370509478,0.03805596287350421,8.083159056676559e-08
1.007019673293806e-06,0.0401351232846508,0.040135039455106436,8.382954436170209e-08
1.007369148735681e-06,0.0422405037331455,0.042240416776388456,8.695675704495365e-08
1.007723678884079e-06,0.04437161727193353,0.04437152705738967,9.021454386304306e-08
1.008083204092963e-06,0.04652791410003288,0.04652782049585713,9.360417575071667e-08
1.008447667323941e-06,0.04870886127342895,0.048708764146578876,9.712685007656763e-08
1.008817013981011e-06,0.05091394166047533,0.050913840876724015,1.0078375131672423e-07
1.009191191755568e-06,0.05314265296377358,0.05314254838778798,1.0457598560026371e-07
1.009570150490456e-06,0.05539450686066644,0.05539439835604465,1.0850462178746412e-07
1.009953842053605e-06,0.05766902820498793,0.057668915634290774,1.1257069715275847e-07
1.010342220219134e-06,0.059965754277241,0.059965637502058966,1.1677518203107029e-07
1.010735240561072e-06,0.06228423411348268,0.06228411299446668,1.2111901600414532e-07
1.011132860357246e-06,0.06462402789760748,0.06462390229451509,1.2560309238518474e-07
1.011535038498887e-06,0.06698470639046593,0.06698457616219411,1.3022827181907726e-07
1.01194173540031e-06,0.06936585036257498,0.06936571536721603,1.3499535894689885e-07
1.012352912929052e-06,0.07176705014976938,0.07176691024463633,1.3990513304806829e-07
1.012768534326869e-06,0.07418790515771563,0.07418776019940021,1.449583154206069e-07
1.013188564146385e-06,0.0766280234605385,0.07662787330492604,1.5015561245779185e-07
1.013612968185289e-06,0.07908702138729072,0.0790868658896241,1.5549766661793196e-07
1.014041713430814e-06,0.08156452317044915,0.0815643621853428,1.609851063566481e-07
1.014474768002821e-06,0.08406016058821199,0.08405999396969677,1.6661851522103976e-07
