time_s,spectre,derived_finite_rise_step,absolute_error
0.0,0.0,0.0,0.0
1e-07,0.0,0.0,0.0
2e-07,0.0,0.0,0.0
3e-07,0.0,0.0,0.0
4e-07,0.0,0.0,0.0
5e-07,0.0,0.0,0.0
6e-07,0.0,0.0,0.0
7e-07,0.0,0.0,0.0
8e-07,0.0,0.0,0.0
9e-07,0.0,0.0,0.0
1e-06,0.0,0.0,0.0
1.000003949821887e-06,9.802214959098902e-08,4.901187757120479e-08,4.9010272019784235e-08
1.000007456631827e-06,2.376013804633565e-07,1.7467411782181447e-07,6.292726264154203e-08
1.000008849962505e-06,3.102017689528873e-07,2.4605079061365553e-07,6.415097833923177e-08
1.000010360253689e-06,4.017995659621621e-07,3.371951531640216e-07,6.460441279814051e-08
1.000012103839827e-06,5.250275561637397e-07,4.6024100489039377e-07,6.478655127334592e-08
1.000014412256749e-06,7.174039763803806e-07,6.525305893366473e-07,6.487338704373329e-08
1.000018092003818e-06,1.093194249797971e-06,1.0282694253641034e-06,6.49248244338677e-08
1.000024481020928e-06,1.947681229916521e-06,1.882724952082665e-06,6.495627783385599e-08
1.000036681124661e-06,4.29167307517888e-06,4.226706854564e-06,6.496622061488078e-08
1.000061081332125e-06,1.178445836218755e-05,1.1719575237587043e-05,6.488312460050675e-08
1.000108834060216e-06,3.726746854174911e-05,3.720330625900381e-05,6.416228274529786e-08
1.000148658734034e-06,6.946931998783325e-05,6.940597790841552e-05,6.334207941773268e-08
1.000186627355421e-06,0.0001094412045867464,0.00010937861936086146,6.25852258849378e-08
1.000224850704827e-06,0.0001588199512850557,0.00015875811268001305,6.183860504265165e-08
1.000262280311495e-06,0.0002160568261731843,0.00021599570029262605,6.112588055824045e-08
1.000299684439984e-06,0.0002820340199671936,0.00028197359476744843,6.042519974517376e-08
1.000337238504727e-06,0.0003571027507553085,0.00035704302754846484,5.972320684364835e-08
1.000374894744241e-06,0.000441254496549898,0.0004411954793258621,5.9017224035898524e-08
1.000412687741919e-06,0.0005346490921270133,0.0005345907870870081,5.8305040005128365e-08
1.000450614352364e-06,0.00063737272471519,0.0006373151387074061,5.758600778388648e-08
1.000488671586137e-06,0.000749509366355932,0.0007494525063705404,5.6859985391615776e-08
1.00052686772107e-06,0.0008711776573995467,0.000871121530813368,5.6126586178728045e-08
1.000565211597361e-06,0.001002506455991653,0.0010024510706807543,5.538531089874579e-08
1.000603713204027e-06,0.001143637805211877,0.0011435831696494647,5.463556241236053e-08
1.000642383107882e-06,0.001294726101803263,0.0012946722251107046,5.3876692558468484e-08
1.000681231594233e-06,0.001455935223585298,0.0014558821155615798,5.3108023718301256e-08
1.000720268760423e-06,0.001627438716118746,0.0016273863872457994,5.232887294662203e-08
1.000759504549831e-06,0.001809419835408169,0.0018093682968526315,5.1538555537449654e-08
1.000798948764663e-06,0.002002071537617965,0.002002020801258886,5.0736359079317506e-08
1.000838611101729e-06,0.002205596611859821,0.0022055466902729526,4.9921586868246354e-08
1.000878501161549e-06,0.002420207722690954,0.0024201586291852095,4.909350574460944e-08
1.00091862844825e-06,0.002646127416952519,0.002646079165576798,4.82513757209084e-08
1.000959002368253e-06,0.002883588126679998,0.0028835407322228557,4.739445714227811e-08
1.000979501184127e-06,0.003008049854792439,0.0030080026983460018,4.7156446437383176e-08
1.001e-06,0.003135135829373447,0.003135088830610089,4.6998763358115786e-08
1.001000716883561e-06,0.003139626141191241,0.00313957915264651,4.6988544730956067e-08
1.001002150650684e-06,0.003148606716770646,0.003148559736656953,4.6980113692970255e-08
1.001003800753575e-06,0.003158942244745967,0.003158895268326134,4.697641983308215e-08
1.001007100959358e-06,0.00317961298629733,0.003179566013413293,4.697288403686037e-08
1.001013701370923e-06,0.003220953199499814,0.0032209062305890157,4.6968910798455416e-08
1.001026902194053e-06,0.003303628536712015,0.003303581573208758,4.696350325685342e-08
1.001053303840313e-06,0.003468958848698114,0.0034689118934791985,4.695521891532467e-08
1.001106107132834e-06,0.00379953803443063,0.0037994910897465317,4.694468409838226e-08
1.001211713717875e-06,0.00446037079047212,0.0044603238299480985,4.696052402150541e-08
1.001422926887957e-06,0.005780734976588789,0.005780687698782927,4.727780586206293e-08
1.001670088922438e-06,0.007323626866040181,0.007323578773701378,4.809233880315872e-08
1.001919523512931e-06,0.008878302203888619,0.008878253060591978,4.9143296640408174e-08
1.002175334770782e-06,0.01047021862894227,0.01047016829543923,5.033350303912387e-08
1.002435283912567e-06,0.01208529239852103,0.012085240786502749,5.161201828071671e-08
1.002699750714892e-06,0.01372575679631168,0.013725703830541502,5.2965770177756943e-08
1.002970145515657e-06,0.01540020432742827,0.015400149920098638,5.4407329631162016e-08
1.003246698873568e-06,0.01710987861507144,0.0171098226685501,5.5946521339278465e-08
1.003529452563416e-06,0.01885484582275555,0.018854788232681385,5.7590074164365346e-08
1.003818349557487e-06,0.02063455845883528,0.020634499116359173,5.934247610667187e-08
1.004113244030332e-06,0.02244792236279298,0.022447861156579485,6.120621349331445e-08
1.004414004598243e-06,0.02429393503650914,0.024293871853470095,6.318303904379041e-08
1.004720518005305e-06,0.02617170769660199,0.026171642422028296,6.527457369412404e-08
1.005032682982044e-06,0.02808042698038306,0.028080359497994145,6.748238891643443e-08
1.005350409137218e-06,0.03001934772062776,0.030019277912517683,6.980811007722965e-08
1.005673612718632e-06,0.0319877667121145,0.031987694458770255,7.22533442451545e-08
1.006002214517465e-06,0.03398500977413652,0.03398493495446464,7.481967188166516e-08
1.006336139217836e-06,0.03601042770610469,0.03601035019749066,7.750861403393872e-08
1.006675314989189e-06,0.03806339374528365,0.03806331342363933,8.032164431487354e-08
1.007019673293806e-06,0.04014330234041445,0.04014321908025198,8.32601624728424e-08
1.007369148735681e-06,0.04224956817738133,0.04224948185184996,8.632553137599697e-08
1.007723678884079e-06,0.04438162505351555,0.044381535534463445,8.951905210163869e-08
1.008083204092963e-06,0.04653892473088036,0.046538831888897625,9.284198273368238e-08
1.008447667323941e-06,0.04872093581556676,0.04872083952005746,9.629550930256858e-08
1.008817013981011e-06,0.05092714271306962,0.05092704283226368,9.988080593853477e-08
1.009191191755568e-06,0.05315704465012413,0.053156941051154094,1.0359897003459073e-07
1.009570150490456e-06,0.05541015481516916,0.05541004736410682,1.0745106233944757e-07
1.009953842053605e-06,0.05768599956005888,0.057685888121945306,1.1143811357722244e-07
1.010342220219134e-06,0.05998411765018882,0.05998400208910015,1.1556108867050163e-07
1.010735240561072e-06,0.06230405959333769,0.062303939772414885,1.1982092280871104e-07
1.011132860357246e-06,0.06464538703191337,0.0646452628134071,1.2421850627275521e-07
1.011535038498887e-06,0.06700767217202733,0.06700754341732973,1.287546975980991e-07
1.01194173540031e-06,0.06939049721613219,0.06939036378583208,1.3343030011436774e-07
1.012352912929052e-06,0.07179345391865656,0.07179331567256331,1.3824609325363557e-07
1.012768534326869e-06,0.07421614309044283,0.07421599988764327,1.432027995629248e-07
1.013188564146385e-06,0.07665817419734064,0.07665802589621351,1.4830112712860277e-07
1.013612968185289e-06,0.07911916494661317,0.07911901140489153,1.535417216425028e-07
1.014041713430814e-06,0.08159874093539711,0.08159858201018122,1.5892521589011555e-07
1.014474768002821e-06,0.08409653529293983,0.08409637084074206,1.6445219776228814e-07
