frequency_Hz,spectre_real,spectre_imag,derived_real,derived_imag,relative_error
1.0,20000.0,-3.8454,19999.999260707078,-3.845403513641742,3.6965064260168077e-08
1.039122303835169,20000.0,-3.99584,19999.999201729872,-3.995844546489085,3.991415455330824e-08
1.07977516232771,20000.0,-4.15217,19999.999138047744,-4.152171177695117,4.30976539533411e-08
1.122018454301963,20000.0,-4.31461,19999.99906928537,-4.314613665251654,4.653609335187514e-08
1.165914401179831,20000.0,-4.48341,19999.99899503746,-4.483411275352236,5.024816880603227e-08
1.211527658628588,20000.0,-4.65881,19999.998914866414,-4.658812634811099,5.425684073391121e-08
1.258925411794167,20000.0,-4.84108,19999.998828299715,-4.841076097269306,5.8585340965070655e-08
1.308177474260194,20000.0,-5.03047,19999.99873482714,-5.030470123727319,6.325864536151483e-08
1.359356390878525,20000.0,-5.22727,19999.998633897776,-5.227273677964512,6.830536108640626e-08
1.412537544622754,20000.0,-5.43178,19999.998524916755,-5.431776637427938,7.375435660917612e-08
1.467799267622069,20000.0,-5.64428,19999.99840724176,-5.644280220195483,7.963791588111386e-08
1.525222956539018,20000.0,-5.8651,19999.99828017923,-5.865097428642299,8.599113838683978e-08
1.584893192461112,20000.0,-6.09455,19999.998142980257,-6.094553510463773,9.285115734254739e-08
1.646897865482867,20000.0,-6.33299,19999.997994836223,-6.332986437734155,1.0025835207004286e-07
1.71132830416178,20000.0,-6.58075,19999.99783487397,-6.580747404706155,1.0825638506027492e-07
1.778279410038921,20000.0,-6.8382,19999.997662150712,-6.838201345084812,1.1689249057220611e-07
1.847849797422289,20000.0,-7.10573,19999.997475648426,-7.105727469537247,1.2621765007001847e-07
1.9201419386388,20000.0,-7.38372,19999.997274267902,-7.3837198242299005,1.3628661447171274e-07
1.995262314968878,20000.0,-7.67259,19999.997056822216,-7.672587871215784,1.4715893851492725e-07
2.073321573485953,20000.0,-7.97276,19999.996822029767,-7.97275709152639,1.5889859082315958e-07
2.154434690031881,20000.0,-8.28467,19999.996568506718,-8.284669611856355,1.7157467990643174e-07
2.238721138568337,20000.0,-8.60878,19999.996294758832,-8.608784855763663,1.8526223465109285e-07
2.326305067153623,20000.0,-8.94558,19999.995999172676,-8.945580220344297,2.000413865344111e-07
2.417315480804101,20000.0,-9.29555,19999.9956800061,-9.295551779377728,2.1599973660461733e-07
2.511886431509577,20000.0,-9.65922,19999.995335377964,-9.65921501397849,2.332312622459818e-07
2.610157215682533,20000.0,-10.0371,19999.99496325708,-10.037105571829752,2.5183733186329536e-07
2.712272579332024,20000.0,-10.4298,19999.994561450207,-10.429780056116622,2.719293550511155e-07
2.818382931264449,20000.0,-10.8378,19999.99412758914,-10.837816845320798,2.936217941588307e-07
2.928644564625232,20000.0,-11.2618,19999.99365911676,-11.261816945083428,3.170453442997011e-07
3.043219887107717,20000.0,-11.7024,19999.993153271942,-11.702404873390323,3.423365482125019e-07
3.162277660168374,20000.0,-12.1602,19999.9926070733,-12.160229580382632,3.6964936211968337e-07
3.285993247600648,20000.0,-12.636,19999.992017301614,-12.635965404146901,3.9913874724567213e-07
3.414548873833595,20000.0,-13.1303,19999.991380480824,-13.130313063891549,4.309765466652927e-07
3.548133892335747,20000.0,-13.644,19999.99069285761,-13.644000691971508,4.65357229093191e-07
3.686945064519568,20000.0,-14.1778,19999.989950379186,-14.177784906280062,5.024817336835265e-07
3.83118684955728,20000.0,-14.7325,19999.98914866949,-14.732451924586172,5.42571997422619e-07
3.981071705534964,20000.0,-15.3088,19999.98828300334,-15.308818722457088,5.858507525832724e-07
4.136820402388498,20000.0,-15.9077,19999.987348278617,-15.907734236470365,6.325885853713229e-07
4.298662347082267,20000.0,-16.5301,19999.986338986186,-16.53008061448552,6.83051611692796e-07
4.466835921509621,20000.0,-17.1768,19999.985249177396,-17.176774514815,7.375425029205045e-07
4.641588833612769,20000.0,-17.8488,19999.984072429063,-17.848768456205754,7.963804257305337e-07
4.823178482239296,20000.0,-18.5471,19999.9828018056,-18.547052220617253,8.599134081787398e-07
5.011872336272711,20000.0,-19.2727,19999.981429818123,-19.272654310859345,9.285123351711285e-07
5.207948328595451,20000.0,-20.0266,19999.979948380336,-20.02664346523361,1.0025838411796102e-06
5.411695265464624,20000.0,-20.8101,19999.978348760855,-20.810130231405797,1.0825635984797801e-06
5.623413251903477,20000.0,-21.6243,19999.976621531758,-21.624268601823267,1.168925149471771e-06
5.843414133735161,20000.0,-22.4703,19999.97475651301,-22.470257713081896,1.2621769169498325e-06
6.072021956909869,20000.0,-23.3493,19999.972742712478,-23.34934361174042,1.3628670491904076e-06
6.309573444801915,20000.0,-24.2628,19999.97056826115,-24.26282108917727,1.4715884030107681e-06
6.55641849417977,20000.0,-25.212,19999.968220343133,-25.212035588186392,1.588985102005265e-06
6.812920690579593,20000.0,-26.1984,19999.965685120198,-26.198385184112794,1.715745621786402e-06
7.079457843841358,20000.0,-27.2233,19999.96294765016,-27.223322643438202,1.8526195538291474e-06
7.356422544596391,20000.0,-28.2884,19999.959991798853,-28.28835756283955,2.0004131833632175e-06
7.644222742525979,20000.0,-29.3951,19999.956800145002,-29.39505859186118,2.159996074732407e-06
7.943282347242791,20000.0,-30.5451,19999.95335387759,-30.545055742463006,2.33230988985873e-06
8.254041852680158,19999.9,-31.74,19999.949632684977,-31.740042788833712,2.4816382955478908e-06
8.576958985908913,19999.9,-32.9818,19999.945614635173,-32.98177976098935,2.280735083782859e-06
8.912509381337426,19999.9,-34.2721,19999.9412760466,-34.27209553581426,2.0638053716224766e-06
9.261187281287903,19999.9,-35.6129,19999.93659134854,-35.612890529342636,1.8295703883103943e-06
9.623506263980852,19999.9,-37.0061,19999.93153293039,-37.006139494225955,1.5766504545494024e-06
9.999999999999964,19999.9,-38.4539,19999.92607097899,-38.45389442648406,1.3035513882033313e-06
10.39122303835165,19999.9,-39.9583,19999.92017330288,-39.958287585795944,1.0086673476334237e-06
10.79775162327706,19999.9,-41.5215,19999.913805142598,-41.52153463375012,6.902607893122739e-07
11.22018454301959,19999.9,-43.1459,19999.90692896586,-43.14593789464494,3.464542800169219e-07
11.65914401179827,19999.9,-44.8339,19999.899504246303,-44.8338897436061,2.4793051373281903e-08
12.11527658628584,19999.9,-46.5879,19999.891487224733,-46.58787612697078,4.256415917206796e-07
12.58925411794162,19999.9,-48.4105,19999.882830651182,-48.410480220078774,8.58470525091527e-07
13.08177474260189,19999.9,-50.3044,19999.873483506482,-50.3043862278076,1.3258290479036923e-06
13.5935639087852,19999.9,-52.2724,19999.863390701612,-52.272383333391616,1.8304713601242036e-06
14.12537544622749,19999.9,-54.3174,19999.852492753023,-54.31736980127859,2.37537158768659e-06
14.67799267622063,19999.8,-56.4424,19999.84072543216,-56.44235723999386,2.036280838003895e-06
15.25222956539013,19999.8,-58.6505,19999.828019386907,-58.65047503121168,1.4009759246480405e-06
15.84893192461107,19999.8,-60.945,19999.814299732956,-60.94497493146537,7.149910655850701e-07
16.46897865482861,19999.8,-63.3292,19999.799485612522,-63.32923585317467,2.5781902176194583e-08
17.11328304161773,19999.8,-65.8068,19999.78348971786,-65.80676883191697,8.255200458156962e-07
17.78279410038915,19999.8,-68.3812,19999.766217776836,-68.38122218713184,1.689121393797369e-06
18.47849797422283,19999.7,-71.0564,19999.74756799741,-71.05638688371671,2.378414969270122e-06
19.20141938638793,19999.7,-73.8362,19999.727430467847,-73.83620210225021,1.3715327415070555e-06
19.9526231496887,19999.7,-76.7248,19999.705686509133,-76.72476102586724,2.843342264423604e-07
20.73321573485946,19999.7,-79.7263,19999.682207975664,-79.72631685210658,8.896086830710601e-07
21.54434690031874,19999.7,-82.8453,19999.656856500264,-82.8452890383595,2.1571935606496156e-06
22.38721138568329,19999.6,-86.0863,19999.629482678956,-86.08626978986331,1.4741483756020459e-06
23.26305067153615,19999.6,-89.454,19999.599925190752,-89.45403079951024,4.045109410205623e-09
24.17315480804092,19999.6,-92.9535,19999.568009847208,-92.9535302490779,1.5995256277092942e-06
25.11886431509567,19999.5,-96.5899,19999.53354856632,-96.58992008183415,1.6774481761530738e-06
26.10157215682523,19999.5,-100.369,19999.496338264496,-100.36855355682422,1.844448499431376e-07
27.12272579332014,19999.5,-104.295,19999.45615966026,-104.29499309551366,2.192046814832966e-06
28.18382931264439,19999.4,-108.375,19999.412775982604,-108.37501843183692,6.388091722906192e-07
29.28644564625221,19999.4,-112.615,19999.36593157634,-112.61463507708511,1.7035459038166974e-06
30.43219887107706,19999.3,-117.02,19999.315350396348,-117.02008311146142,7.675442035243928e-07
31.62277660168362,19999.3,-121.598,19999.260734381765,-121.59784631453537,1.96333223256254e-06
32.85993247600636,19999.2,-126.355,19999.20176170067,-126.35466164723971,8.969671505604119e-08
34.14548873833583,19999.1,-131.298,19999.138084854858,-131.29752909847116,1.904429332695325e-06
35.48133892335735,19999.1,-136.434,19999.06932863358,-136.4337219097859,1.5336670349345652e-06
36.86945064519555,19999.0,-141.771,19998.99508790439,-141.77079719211233,2.458202021051038e-07
38.31186849557266,19998.9,-147.317,19998.91492522783,-147.31660694884178,7.465403683344201e-07
39.8107170553495,19998.8,-153.079,19998.828368282237,-153.07930952010315,1.4185400842056683e-06
41.36820402388483,19998.7,-159.067,19998.73490708349,-159.06738146347143,1.7455135889044379e-06
42.98662347082252,19998.6,-165.29,19998.633990983213,-165.28962988680743,1.699707949240636e-06
44.66835921509605,19998.5,-171.755,19998.525025428127,-171.75520524937357,1.2513596301324998e-06
46.41588833612751,19998.4,-178.474,19998.407368461383,-178.4736146478138,3.689412377782377e-07
48.23178482239277,19998.3,-185.455,19998.280326945354,-185.4547356040213,9.837838539071767e-07
50.11872336272692,19998.1,-192.709,19998.143152483965,-192.70883037235163,2.1577410265427144e-06
52.07948328595431,19998.0,-200.247,19997.99503702046,-200.24656078405204,2.49131316583038e-07
54.11695265464603,19997.8,-208.079,19997.83510808514,-208.07900364718245,1.7554992725166743e-06
56.23413251903455,19997.7,-216.218,19997.66242366498,-216.21766672068142,1.8790004506478274e-06
58.43414133735138,19997.5,-224.675,19997.475966665545,-224.67450528159068,1.201997129162875e-06
60.72021956909846,19997.3,-233.462,19997.274638932482,-233.46193930476986,1.2681434065548041e-06
63.09573444801892,19997.1,-242.593,19997.057254798183,-242.59287127472447,2.1374270218749958e-06
65.56418494179746,19996.8,-252.081,19996.82253411559,-252.08070464940457,1.1268920653730607e-06
68.12920690579568,19996.6,-261.939,19996.569094738916,-261.93936299602154,1.54550219528798e-06
70.79457843841332,19996.3,-272.183,19996.29544440746,-272.18330981904654,2.2832692294346014e-07
73.56422544596364,19996.0,-282.828,19995.999971985355,-282.8275691006032,2.1592614871349072e-08
76.44222742525952,19995.7,-293.888,19995.680938006502,-293.88774657341963,9.532868323181525e-07
79.43282347242761,19995.3,-305.38,19995.336464469925,-305.3800517463625,1.8234379179167372e-06
82.54041852680128,19995.0,-317.321,19994.964523826442,-317.3213207023086,1.774104486009454e-06
85.76958985908881,19994.6,-329.729,19994.56292709313,-329.729039687708,1.853898395528131e-06
89.12509381337392,19994.1,-342.621,19994.129311027085,-342.62136951263653,1.4658829481137347e-06
92.61187281287869,19993.7,-356.017,19993.661124284456,-356.0171707793871,1.944112617980308e-06
96.23506263980816,19993.2,-369.936,19993.155612485556,-369.9360299567171,2.2197560492969948e-06
99.99999999999928,19992.6,-384.398,19992.60980210011,-384.39828631566746,4.904046455426498e-07
103.9122303835162,19992.0,-399.425,19992.0204830607,-399.4250597414365,1.0243617416947865e-06
107.9775162327702,19991.4,-415.038,19991.384190005134,-415.0382794340179,7.907935421513058e-07
112.2018454301955,19990.7,-431.261,19990.697182040938,-431.26071350822076,1.4165719224586112e-07
116.5914401179823,19990.0,-448.116,19989.955420917213,-448.115999501175,2.2295140249389115e-06
121.1527658628579,19989.2,-465.629,19989.15454748039,-465.6286757924954,2.2733001980123137e-06
125.8925411794158,19988.3,-483.824,19988.289856281084,-483.8242139388189,5.074473025643222e-07
130.8177474260184,19987.4,-502.729,19987.356268189473,-502.72905192040196,2.18728350302328e-06
135.9356390878515,19986.3,-522.371,19986.348300865946,-522.3706282928213,2.4159394214376524e-06
141.2537544622744,19985.3,-542.777,19985.260036922526,-542.7774172314047,1.998999474435894e-06
146.7799267622059,19984.1,-563.979,19984.085089598502,-563.9789644498308,7.45818968428288e-07
152.5222956539008,19982.8,-586.006,19982.81656576098,-586.005923967206,8.286527966472804e-07
158.4893192461101,19981.4,-608.89,19981.447026027225,-608.8900956897597,2.352397487551344e-06
164.6897865482856,19980.0,-632.664,19979.968441791432,-632.6644637639919,1.5788716119822457e-06
171.1328304161768,19978.4,-657.363,19978.372148922983,-657.3632356474748,1.3933572173440684e-06
177.8279410038909,19976.6,-683.022,19976.648797887152,-683.0218818314446,2.441327003280457e-06
184.7849797422277,19974.8,-709.677,19974.788300021926,-709.6771761356011,5.854342695484765e-07
192.0141938638787,19972.8,-737.367,19972.779769686585,-737.3672364799974,1.0122738094669373e-06
199.5262314968864,19970.6,-766.132,19970.611461978562,-766.1315660213298,5.739313623839767e-07
207.3321573485939,19968.3,-796.011,19968.270705695224,-796.0110945210853,1.465886013069528e-06
215.4434690031867,19965.7,-827.048,19965.743831196167,-827.0482197906011,2.1934664990056145e-06
223.8721138568322,19963.0,-859.287,19963.01609280012,-859.2868490328906,8.054203812980879e-07
232.6305067153608,19960.1,-892.772,19960.071585327765,-892.7724398726982,1.4223242034362441e-06
241.7315480804085,19956.9,-927.552,19956.89315437853,-927.5520408344007,3.426566015833878e-07
251.188643150956,19953.5,-963.674,19953.462299905626,-963.6743309916214,1.8872741915230903e-06
261.0157215682516,19949.8,-1001.19,19949.75907262912,-1001.1896584723783,2.049014798540933e-06
271.2272579332006,19945.8,-1040.15,19945.761962802044,-1040.150077458783,1.9044477097876476e-06
